source,status,date,cust_name,cust_num,cust_parent_name,cust_channel,cust_segment,amount,quantity
direct,closed,2024-01-01,Amazon,1002,Amazon,Online,Online,29.99,1
direct,closed,2024-01-01,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,1406.6000000000001,24
direct,closed,2024-01-02,Amazon,1002,Amazon,Online,Online,7009.790000000001,371
direct,closed,2024-01-02,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-01-02,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,65951.4,1557
direct,closed,2024-01-02,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,11823.1,207
direct,closed,2024-01-02,Target,1009,Target,Retail,Mass,31680.0,880
direct,closed,2024-01-02,Walmart,1015,Walmart,Retail,Mass,21204.0,372
direct,closed,2024-01-03,Amazon,1002,Amazon,Online,Online,12543.350000000002,570
direct,closed,2024-01-03,Costco Wholesale,1008,Costco,Club,Club,220032.0,120
direct,closed,2024-01-03,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,24921.0,465
direct,closed,2024-01-03,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,13
direct,closed,2024-01-03,"McLane Company, Inc.",1018,McLane,Retail,Convenience,3264.0,240
direct,closed,2024-01-03,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,2912.66,81
direct,closed,2024-01-03,UNFI,1014,UNFI,Retail,Natural,2529.6,17
direct,closed,2024-01-03,Walmart,1015,Walmart,Retail,Mass,10887.0,191
direct,closed,2024-01-04,Amazon,1002,Amazon,Online,Online,2375.2799999999997,72
direct,closed,2024-01-04,Costco Wholesale,1008,Costco,Club,Club,55008.0,30
direct,closed,2024-01-04,Walmart,1015,Walmart,Retail,Mass,7581.0,133
direct,closed,2024-01-05,Amazon,1002,Amazon,Online,Online,2265.33,67
direct,closed,2024-01-05,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,49118.4,2192
direct,closed,2024-01-05,Walmart,1015,Walmart,Retail,Mass,8607.0,151
direct,closed,2024-01-06,Amazon,1002,Amazon,Online,Online,7007.430000000001,312
direct,closed,2024-01-06,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,398
direct,closed,2024-01-06,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,3488.31,105
direct,closed,2024-01-06,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,105
direct,closed,2024-01-07,Amazon,1002,Amazon,Online,Online,5797.59,241
direct,closed,2024-01-07,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,59.0,1
direct,closed,2024-01-08,Amazon,1002,Amazon,Online,Online,14068.03,602
direct,closed,2024-01-08,Costco Wholesale,1008,Costco,Club,Club,556627.2,302
direct,closed,2024-01-08,GNC,1006,GNC,AFH,Fitness,13056.0,960
direct,closed,2024-01-08,Harris Teeter,1016,Harris Teeter,Retail,Grocery,6603.0,131
direct,closed,2024-01-08,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,32333.0,895
direct,closed,2024-01-08,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,320
direct,closed,2024-01-08,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,12500.619999999999,270
direct,closed,2024-01-08,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,45
direct,closed,2024-01-08,Target,1009,Target,Retail,Mass,77070.0,1835
direct,closed,2024-01-09,Amazon,1002,Amazon,Online,Online,6641.710000000001,298
direct,closed,2024-01-09,DPI Specialty Foods,1001,DPI,Retail,Natural,9076.8,244
direct,closed,2024-01-09,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,9360.0,480
direct,closed,2024-01-09,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,463
direct,closed,2024-01-09,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,3447.19,97
direct,closed,2024-01-09,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,386
direct,closed,2024-01-09,Target,1009,Target,Retail,Mass,64890.0,1545
direct,closed,2024-01-10,Amazon,1002,Amazon,Online,Online,7221.2300000000005,327
direct,closed,2024-01-10,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-01-10,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,93369.0,2505
direct,closed,2024-01-10,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,283
direct,closed,2024-01-10,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,1417.94,43
direct,closed,2024-01-11,Amazon,1002,Amazon,Online,Online,10503.680000000002,483
direct,closed,2024-01-11,GNC,1006,GNC,AFH,Fitness,26112.0,1920
direct,closed,2024-01-11,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,30
direct,closed,2024-01-11,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,6528.0,480
direct,closed,2024-01-11,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4425.29,102
direct,closed,2024-01-11,The Kroger Co.,1013,Kroger,Retail,Grocery,43890.0,770
direct,closed,2024-01-11,Walmart,1015,Walmart,Retail,Mass,40755.0,715
direct,closed,2024-01-12,Amazon,1002,Amazon,Online,Online,11839.160000000002,539
direct,closed,2024-01-12,Costco Wholesale,1008,Costco,Club,Club,55008.0,30
direct,closed,2024-01-12,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,70
direct,closed,2024-01-12,"McLane Company, Inc.",1018,McLane,Retail,Convenience,3264.0,240
direct,closed,2024-01-12,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,0.0,24
direct,closed,2024-01-12,Target,1009,Target,Retail,Mass,5040.0,140
direct,closed,2024-01-13,Amazon,1002,Amazon,Online,Online,1145.65,35
direct,closed,2024-01-14,Amazon,1002,Amazon,Online,Online,1049.69,31
direct,closed,2024-01-15,Amazon,1002,Amazon,Online,Online,15307.2,733
direct,closed,2024-01-15,Costco Wholesale,1008,Costco,Club,Club,209030.4,114
direct,closed,2024-01-15,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,24597.0,725
direct,closed,2024-01-15,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,102
direct,closed,2024-01-15,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,31008.0,2280
